locale,en,cmn-Hans,af,ar,de,el,fi,fr,ga,hi,hr,hu,id,it,ja,ko,nl,no,pl,pt,ro,ru,es,sw,sv,th,tr,vi,cat,sr-latn
ckb,Kurdish Sorani,库尔德语索拉尼话,Koerdies (Sorani),الكردية السورانية,Kurdisch (Sorani),Κουρδική Σοράνι,kurdi (sorani),Kurde sorani,Coirdis Sorani,कुरदीश सोरानी,sorani,szoráni,Kurdi Sorani,Curdo sorani,クルド語（ソラニ）,소라니 쿠르드어,"Koerdisch, Sorani",Kurdisk – sorani,kurdyjski (sorani),Curdo sorani,Kurdă Sorani,курдский сорани,kurdo soraní,Kisorani cha Kikurdi,Kurdiska (sorani; arabisk skrift),เคิร์ด โซรานี,Kürtçe (Sorani),Kurdish Sorani,kurd sorani,kurdski sorani
kuj,Kuria,库里亚语,Kuria,كوريا,Kuria,Κούρια,kuria,Kuria,Kuria,कुरीआ,kuria,kuria,Kuria,Kuria,クリア語,쿠리아어,Kuria,Kuria,kuria,Kuria,IkiKuria,курия,kuria,Kikuria,Kuria,คูเรีย,Kuria Dili,Kuria,kuria,kuria
kru,Kurukh,库卢克语,Kurukh,كوروخ,Kurukh,Κουρούχ,kurukh,Kouroukh,Kurukh,Kurukh,kuruh,kurukh,Kurukh,Kurukh,クルク語,쿠루흐어,Kurukh,Kurukh,Kurukh,Kurukh,Kurukh,курукх,kúruj,Kurukh,Kurukh,กุรุค,Kurukh,Kurukh,Kurukh,Kurukh
kfr,Kutchi,卡奇语,Kutchi,كوتشي,Kachi Koli,Κατσί,kutši,Koutchi,Kutchi,Kutchi,kutchi,kácsi,Kutchi,Kutchi,カッチ語,쿠치어,Kutchi,Kutchi,kaććhi,Kutchi,Kutchi,каччхи,cuchí,Kutchi,Kutchi,คุตชี,Kutchi,Kutchi,Kutchi,Kutchi
olu,Kuvale (Mucubal),库瓦雷语（穆库宝）,Kuvale (Mucubal),كوفال (موكوبال),Vale (Mucubal),Κουβάλε (Μουκούμπαλ),kuvale (mucubal),Kuvale mucubal,Kuvale (Mucubal),Kuvale (Mucubal),kuvale (mucubal),kuvale (mucubal),Kuvale (Mucubal),Kuvale (Mucubal),クバレ語（ムクバル）,쿠발레어 (무쿠발),Kuvale (Mucubal),Kuvale (mucubal),kuvale (mucubal),Kuvale (mucubal),Kuvale (Mucubal),кувале (мукубал),kuvale (mucubal),Kuvale (Mucubal),Kuvale (mucubal),คูวาเล (มูคูบาล),Kuvale (Mucubal),Kuvale (Mucubal),Kuvale (Mucubal),kuvale (mukubal)
kdt,Kuy,库伊语,Kuy,كوي,Kuy,Κάι,kuy,Kuy,Kuy,कुए,kuj,kuy,Kuy,Kui,クイ語,쿠이어,Kuy,Kuy,kuy,Kuy,Kuy,куй,kuy,Kuy,Kuy,กูย (ส่วย),Kuy,Kuy,kuy,kuji
kwd,Kwaio,槐欧语,Kwaio,كوايو,Kwaio,Κουάιο,kwaio,Kwaio,Kwaio,क्वाइओ,kwaio,kwaio,Kwaio,Kwaio,クワイオ語,크와이오어,Kwaio,Kwaio,kwaio,Kwaio,Kwaio,квайо,kwaio,Kikwaio,Kwaio,ควาโย,Kwaio Dili,Kwaio,kwaio,kvajo
kwn,Kwangali,克万加里语,Kwangali,الكوانغالية,Kwangali,Κουανγκάλι,kwangali,Kwangali,Kwangali,क्वांगॉली,kwangali,kvangali,Kwangali,Kwangali,クワンガリ語,쾅갈리어,Kwangali,Kwangali,kwangali,Kwangali,Kwangali,квангали,kwangalí,Kikwangali,Kwangali,ควังกาลี,Kwa-nga-li,Kwangali,kwangali,kvangali
kj,Kwanyama,宽亚玛语,Kwanyama,الكوانيامية,Kwanyama,Κουανιάμα,kwanjama,Kwanyama,Kwanyama,क्वान्यामा,kwanyama,kvanyama,Kwanyama,Kwanyama,クワニャマ語,콰니아마어,Kwanyama,Kwanyama,kwanyama,Cuanhama,Kwanyama,куаньяма,kwanyama,Kikwanyama,Kwanyama,ควันยามา,Kwanyama Dili,Kwanyama,kwanyama,kvanjama
kwf,Kwara'ae,夸赖语,Kwara'ae,الكوارائية,Kwara'ae,Κουαράε,kwaraae,Kwara’ae,Kwara'ae,क्वारेई,kwara'ae,kvara-ae,Kwara'ae,Kwara’ae,クワラアエ語,콰라아에어,Kwara'ae,Kwara’ae,kwara'ae,Kwara'ae,Kwara'ae,квара’аэ,kuaraae,Kikwara'ae,Kwara’ae,ควาราแอ,Kwara'ae Dili,Kwara'ae,kwara'ae,Kvara
nmg,Kwasio,夸西奥语,Kwasio,كواسيو,Kwasio,Κουάσιο,kwasio,Kwasio,Kwasio,Kwasio,kwasio,kwasio,Kwasio,Kwasio,クワシオ語,콰시오어,Kwasio,Kwasio,kwasio,Kwasio,Kwasio,квасио,engumba,Kwasio,Kwasio,ควาซีโอ,Kwasio,Kwasio,kwasio,Kwasio
nyy-x-nkn,Kyangonde,基扬贡德语,Nyakyusa-Ngonde,كيانغوندي,Kyangonde,Κιανγκόντε,kyangonde,Kyangondé,Kyangonde,क्यानगोंडे,kjangonde,kyangonde,Nyakyusa-Ngonde,Ngonde,キャンゴンデ語,키아응곤데어,Kyangonde,Kyangonde,kyangonde,Kyangonde,Kyangonde,кьянгонде,kyangonde,Kyangonde,Kyangonde,เคียงงอนเด,Kyangonde,Kyangonde,kyangonde,Kjangond
lld-x-lad,Ladin (Gardenese),拉登语（加登语）,Ladin (Gardenees),اللادينية (الغاردنية),Ladinisch (Grödnerisch),Λαδινική (Γκαρντενέζε),ladino (gardenese),Ladin (Gardenese),Ladin (Gardenese),लादीन (गार्डेनीज़),ladinski (Gardena),ladin (Gardena-völgy),Ladin (Gardenese),Ladino (gardenese),ラディン語（ガルデナ方言）,라딘어 (가르데네스),Ladinisch (Val Gardena),Ladinsk (gardenese),ladyński (gerdeński),Ladino gardenês,Ladină (dolomitică),ладинский (гарденский),ladino de Val Gardena,Kiladin (Gardenese),Ladino (Gherdëina),ลาดิน,Ladin (Gardenese),Ladin (Gardenese),ladí (gardanès),ladinski (gardenski)
lhu,Lahu,拉祜语,Lahu,اللاهو,Lahu,Λαχού,lahu,Lahu,Lahu,लाहू,lahu,lahu,Lahu,Lahu,ラフ語,라후어,Lahu,Lahu,lahu,Lahu,Lahu,лаху,lahú,Kilahu,Lahu,ลาฮู,Lahu Dili,Lahu,lahu,lahu
lbe,Lak,拉克语,Lak,اللاك,Lakkisch,Λακ,lak,Lak,Lak,लाक,lakski,lak,Lak,Lak,ラク語,라크어,Lak,Lakisk,lakijski,Lak,Lak,лакский,lako,Kilak,Lak,ลัก,Lak,Lak,lak,lak
lkt,Lakota,拉科塔语,Lakota,لوكوتا,Lakota,Λακότα,lakota,Lakota,Lakota,लाकोटा,lakota,lakota,Lakota,Lakota,ラコタ語,라코타어,Lakota,Lakota,lakota,Lakota,Lakota,лакота,lakota,Kilakota,Lakota,ลาโคตา,Lakota Dili,Lakota,lakota,lakota
leb,Lala-Bisa,拉拉比萨语,Lala-Bisa,لالا-بيسا,Lala,Λάλα-Μπίσα,lala-bisa,Lala-bisa,Lala-Bisa,लाला-बीसा,lala-bisa,lala-bisa,Lala-Bisa,Lala-bisa,ララ・ビサ語,랄라비사어,Lala-Bisa,Lala-Bisa,lala-bisa,Lala-Bisa,Lala-bissa,лала-биса,lala-bisa,Lala-Bisa,Lala-bisa,ลาลา-บิซา,Lala-Bisa,Lala-Bisa,lala-bisa,lala-bisa
lam,Lamba,兰巴语,Lamba,اللامبا,Lamba,Λάμπα,lamba,Lamba,Lamba,लाम्बा,lamba,lamba,Lamba,Lamba,ランバ語,람바어,Lamba,Lamba,lamba,Lamba,Lamba,ламба,lamba,Kilamba,Lamba,ลัมบา,Lamba,Lamba,lamba,lamba
lmn,Lambadi,兰巴迪语,Lambadi,لامبادي,Lambadi,Λαμπάντι,lambadi,Lambadi,Lambadi,Lambadi,lambadi,lambadi,Lambadi,Lambadi,ランバディ語,람바디어,Lambadi,Lambadi,lambadi,Lambadi,Lambadi,ламбади,banjari,Lambadi,Lambadi,ลัมบาดี,Lambadi,Lambadi,Lambadi,Lambadi
lai,Lambya,拉姆比亚语,Lambya,لامبيا,Lambya,Λάμπια,lambya,Lambya,Lambya,Lambya,lambya,lambya,Lambya,Lambya,ランブヤ語,람비아어,Lambya,Lambya,lambya,Lambya,Lambya,ламбья,lambya,Lambya,Lambya,ลามเบีย,Lambya,Lambya,lambya,Lambya
laj,Lango,兰戈语,Lango,لانغو,Lango,Λάνγκο,lango,Lango,Lango,लान्गो,lango,lango,Lango,Lango,ランゴ語,랑고어,Lango,Lango,lango,Lango,Lango,ланго,lango,Kilango,Lango,ลังโก,Lango Dili,Lango,lango,lango
lo,Laotian,老挝语,Lao,اللاوسية,Laotisch,Λαοτινή,lao,Lao,Laotian,लाओशन,laoski,lao,Lao,Laotiano,ラオ語,라오어,Lao,Laotisk,laotański,Laociano,Laoţiană,лаосский,lao,Kilaotia,Laotiska,ลาว,Lao Dili,Lào,laosià,laoski
ldi,Lari,拉里语,Lari,اللارية,Laadi,Λάρι,lari,Lari,Lari,लारी,lari,lari,Lari,Lari,ラーリ語,라리어,Lari,Lari,lari (Kongo),Lari,Lari,килари,lari,Kilari,Lari,ลารี,Lari Dili,Lari,lari,lari
ltg,Latgalian,拉特加莱语,Latgalian,لاتغاليان,Hochlettisch,Λατγκαλιανή,latgali,Latgalien,Latgalian,लाटगालियन,latgalski,latgal,Latgalian,Latgalliano,ラトガリア語,라트갈레어,Latgalian,Latgallisk,łatgalski,Latgálio,Latgaliană,латгальский,latgaliano,Kilatgalia,Lettgalliska,ลาตกาเลียน,Latgalian,Latgalian,latgalià,latgalijski
lv,Latvian,拉脫维亚语,Letties,اللاتفية,Lettisch,Λετονική,latvia,Letton,Laitvis,लैटवियन,latvijski,lett,Latvi,Lettone,ラトビア語,라트비아어,Lets,Latvisk,łotewski,Letão,Letonă,латышский,letón,Kilatvia,Lettiska,ลัตเวีย,Letonca,Latvia,letó,letonski
lsl,Latvian Sign Language,拉脫维亚手语,Lettiese Gebaretaal,لغة الاشارات اللاتفية,Lettische Gebärdensprache,Λετονική Νοηματική Γλώσσα,latvialainen viittomakieli,Langue des signes lettone,Teanga Chomharthaíochta na Laitvia,लैटवियन साइन लैंग्वेज,latvijski znakovni jezik,lett jelnyelv,Bahasa Isyarat Latvi,Lingua dei segni lettone,ラトビア手話,라트비아 수어,Letse Gebarentaal,Latvisk tegnspråk,łotewski język migowy,Língua de sinais letã,Limbajul semnelor leton,латышский жестовый,lenguaje de señas letón,Lugha ya Ishara ya Latvia,Lettiskt teckenspråk,ภาษามือลัตเวีย,Letonya İşaret Dili,Latvia (Ngôn ngữ ký hiệu),llengua de signes letona,letonski znakovni jezik
llx,Lauan,拉乌语,Lauan,اللاوية,Lauanisch,Λαουάν,lauan,Lau,Lauan,Lauan,lauan,laui,Lauan,Lauan,ラワン語,라우안어,Lauan,Lauisk,lauan,Lauan,Lauan,лау,lauán,Lauan,Lauan,ลาอูอัน,Lauan,Lauan,Lauan,lauan
sgn-lb,Lebanese Sign Language,黎巴嫩手语,Libanese Gebaretaal,لغة الاشارات اللبنانية,Libanesische Gebärdensprache,Νοηματική Γλώσσα Του Λιβάνου,libanonilainen viittomakieli,Langue des signes libanaise,Lebanese Sign Language,Lebanese Sign Language,libanonski znakovni jezik,libanoni jelnyelv,Bahasa Isyarat Lebanon,Lingua dei segni libanese,レバノン手話,레바논 수어,Libanese Gebarentaal,Libanesisk tegnspråk,libański język migowy,Língua de sinais libanesa,Limbajul semnelor libanez,ливанский жестовый язык,lenguaje de señas libanés,Lebanese Sign Language,Libanesiskt teckenspråk,ภาษามือเลบานอน,Lebanese Sign Language,Lebanese Sign Language,llengua de signes libanesa,libanski znakovni jezik
lea,Lega,莱加语,Lega,ليغا,Lega,Λέγκα,lega,Lega,Lega,लीगा,lega,lega,Lega,Lega,レガ語,레가어,Lega,Lega,lega,Lega,Lega,лега,lega,Kilega,Lega,เลกา,Lega,Lega,lega,lega
lln,Lele,莱勒语,Lele,ليله,Lele,Λέλε,lele,Lélé,Lele,लेले,lele,lele,Lele,Lele,レレ語,렐레어,Lele,Lele,lele,Lele,Lele,леле,lele,Kilele,Lele,เลเล,Lele Dili,Lele,lele,lele
tnl,Lenakel,莱纳克尔语,Lenakel,ليناكل,Lenakel,Λενακέλ,lenakel,Lenakel,Lenakel,लेनाकेल,lenakel,lenakel,Lenakel,Lenakel,レナケル語,레나켈어,Lenakel,Lenakel,lenakel,Lenakel,Lenakel,ленакел,lenakel,Kilenakel,Lénakel,เลนาเคล,Lenakel,Lenakel,lenakel,lenakel
led,Lendu,伦杜语,Lendu,لندو,Lendu,Λέντου,lendu,Lendu,Lendu,लेंडू,lendu,lendu,Lendu,Lendu,レンドゥ語,렌두어,Lendu,Lendu,lendu,Lendu,Lendu,ленду,lendu,Kilendu,Lendu,เลนดู,Lendu,Lendu,lendu,lendu
leh,Lenje,伦杰语,Lenje,اللنجية,Lenje,Λέντζε,lenje,Lenje,Lenje,लेंजी,lenje,lenje,Lenje,Lenje,レンジェ語,렌제어,Lenje,Lenje,lenje,Lenje,ChiLenje,лендже,lenie,Kilenje,Lenje,เลนเจ,Lence,Lenje,lenje,lenje
lez,Lezgian,列兹金语,Lezgian,الليزغية,Lesgisch,Λετζγκιανή,lezgi,Lesghien,Lezgian,लेज़्घीयन,lezgijski,lezg,Lezgian,Lesghio,レズギ語,레즈기아어,Lezgi,Lesgisk,lezgiński,Lezgian,Lezghină,лезгинский,lezguio,Kilezgian,Lezginska,เลซกี,Lezgi,Lezgian,lesguià,lezginski
koo,Lhukonzo,孔乔语,Lhukonzo,اللوكونزو,Konjo,Λουκόνζο,lhukonzo,Lhukonzo,Lhukonzo,लूकोन्ज़ो,lhukonzo,konzo,Lhukonzo,Lhukonzo,ルコンゾ語,루콘조어,Lhukonzo,Lhukonzo,konzo,Luconzo,Lhukonzo,олуконзо,lhukonzo,Kilhukonzo,Lhukonzo,ลูโคนโซ,Konjo Dili,Lhukonzo,lhukonzo,lukonzo
lir,Liberian English,利比里亚英语,Liberiese Engels,الانكليزية الليبيرية,Englisch (Liberia),Αγγλική (Λιβερία),liberianenglanti,Anglais libérien,Béarla (an Libéir),अँग्रेज़ी (लाइबेरिया),engleski (Liberija),libériai angol,Inggris Liberia,Inglese liberiano,リベリア英語,라이베리아 영어,Liberiaans-Engels,Liberisk engelsk,angielski (Liberia),Inglês liberiano,Engleză liberiană,либерийский английский,inglés liberiano,Kiingereza (cha Liberia),Engelska (Liberia),อังกฤษไลบีเรีย,Liberya İngilizcesi,Tiếng Anh (Liberia),anglès (Libèria),Engleski (Liberija)
lia,Limba (West-Central),林巴语（中西部）,Limba (Sentraal-Wes),ليمبا (الغربية الوسطى),Limba (Westzentral),Λίμπα (Δυτική-Κεντρική),limba (länsi- ja keski-),Limba (du Centre-Ouest),Limba (West-Central),Limba (West-Central),limba (zapadni-centralni),limba (nyugati központi),Limba (Tengah-Barat),Limba centro-occidentale,リンバ語（中西部）,림바어 (서중부),Limba (Westelijk/Centraal),Limba (vest-sentral),limba (środkowo-zachodni),Limba (oeste-central),Limba (central-occidental),лимба (западно-центральный),limba (centrooccidental),Limba (West-Central),Limba (centralt väster),ลิมบา (กลาง-ตะวันตก),Limba (West-Central),Limba (West-Central),limba (centreoccidental),Limba (West-Central)
lmp,Limbum,林本语,Limbum,ليمبوم,Nsungli,Λιμπούμ,limbum,Limbum,Limbum,Limbum,limbum,limbum,Limbum,Limbum,リンブム語,림붐어,Limbum,limbum,limbum,Limbum,Limbum,лимбум,limbum,Limbum,Limbum,ลิมบุม,Limbum,Limbum,limbum,Limbum
ln,Lingala,林加拉语,Lingala,اللينغالية,Lingala,Λινγκάλα,lingala,Lingala,Liongáilis,लिंगाला,lingala,lingala,Lingala,Lingala,リンガラ語,링갈라어,Lingala,Lingala,lingala,Lingala,Lingala,лингала,lingala,Kilingala,Lingala,ลิงกาลา,Lingala,Lingala,lingala,lingala
ngc,Lingombe,林戈伯语,Lingombe,اللينغومبي,Ngombe,Λινγκόμπε,lingombe,Lingombe,Lingombe,लिंगॉम्बे,lingombe,ngombe,Lingombe,Lingombe,リンゴンベ語,링곰베어,Lingombe,Lingombe,ngombe,Lingombe,Lingombe,лингомбе,lingombe,Kilingombe,Lingombe,ลิงกอมเบ,Ngombe,Lingombe,lingombe,lingombe
lis,Lisu,傈僳语,Lisu,الليسو,Lisu,Λίσου,lisu,Lisu,Lisu,लीसू,lisu,lisu,Lisu,Lisu,リス語,리쑤어,Lisu,Lisu,lisu,Lisu,Lisu,лису,lisu,Kilisu,Lisu,ลีซู,Lisu Dili,Lisu,lisu,lisu
lt,Lithuanian,立陶宛语,Litaus,الليتوانية,Litauisch,Λιθουανική,liettua,Lituanien,Liotuáinis,लिथुएनियन,litavski,litván,Lituavi,Lituano,リトアニア語,리투아니아어,Litouws,Litauisk,litewski,Lituano,Lituaniană,литовский,lituano,Kilithuania,Litauiska,ลิทัวเนีย,Litvanca,Lithuania,lituà,litvanski
lls,Lithuanian Sign Language,立陶宛手语,Litause Gebaretaal,لغة الاشارات الليتوانية,Litauische Gebärdensprache,Λιθουανική Νοηματική Γλώσσα,liettualainen viittomakieli,Langue des signes lituanienne,Teanga Chomharthaíochta na Liotuáine,लिथुएनियन साइन लैंग्वेज,litavski znakovni jezik,litván jelnyelv,Bahasa Isyarat Lituavi,Lingua dei segni lituana,リトアニア手話,리투아니아 수어,Litouwse Gebarentaal,Litauisk tegnspråk,litewski język migowy,Língua de sinais lituana,Limbajul semnelor lituanian,литовский жестовый,lenguaje de señas lituano,Lugha ya Ishara ya Lithuania,Litauiskt teckenspråk,ภาษามือลิทัวเนีย,Litvanya İşaret Dili,Lithuania (Ngôn ngữ ký hiệu),llengua de signes lituana,litvanski znakovni jezik
log,Logo,洛戈语,Logo,لوغو,Logo,Λόγκο,logo,Logo,Logo,लोगो,logo,logo,Logo,Logo,ロゴ語,로고어,Logo,Logo,logo,Logo,Logo,лого,logo,Logo,Logo,โลโก,Logo,Logo,logo,logo
yaz,Lokaa,洛科语,Lokaa,لوكا,Lukö,Λοκάα,lokaa,Lokaa,Lokaa,Lokaa,loko,lokaa,Lokaa,Lokaa,Lokaa,로카어,Lokaa,Lokaa,lokaa,Lokaa,Loko,локаа,loko,Lokaa,Lokaa,โลคา,Lokaa,Lokaa,Lokaa,Lokaa
llb,Lolo,洛洛语,Lolo,اللولو,Loloisch,Λόλο,lolo,Lolo,Lolo,लोलो,lolo,lolo,Lolo,Lolo,ロロ語,롤로어,Lolo,Lolo,lolo,Lolo,Lolo,лоло,lolo,Kilolo,Lolo,โลโล,Lolo,Lolo,lolo,lolo
lom,Loma,洛马语,Loma,لورما,Loma,Λόμα,loma,Loma,Lorma,लोरमा,loma,loma,Loma,Loma,ロマ語,로마어,Loma,Loma,loma,Loma,Loma,лома,loma,Kilorma,Lorma,โลมา,Loma Dili,Loma,loma,Loma
lol,Lomongo,芒戈语,Lomongo,اللومونغو,Mongo,Λομόνγκο,lomongo,Lomongo,Lomongo,लोमोंगो,lomongo,mongo,Lomongo,Lomongo,モンゴ語,로몽고어,Lomongo,Lomongo,mongo,Lomongo,LoMongo,ломонго,lomongo,Kilomongo,Lomongo,โลมองโก,Lomongo Dili,Lomongo,lomongo,lomongo
ngl,Lomwe,隆韦语,Lomwe,اللوموي,Lomwe,Λόμουε,lomwe,Lomwe,Lomwe,लॉमवी,lomwe,lomve,Lomwe,Lomwe,ロムウェ語,롬웨어,Lomwe,Lomwe,lomwe,Lomwe,Lomwe,ломве,lomue,Kilomwe,Lomwe,ลอมเว,Lomwe,Lomwe,lomwe,lombo
lnu,Longuda,隆古达语,Longuda,لونغودا,Longuda,Λονγκούντα,longuda,Longuda,Longuda,Longuda,longuda,longuda,Longuda,Longuda,ロングダ語,롱구다어,Longuda,Longuda,longuda,Longuda,Longuda,лонгуда,longuda,Longuda,Longuda,ลองงูดา,Longuda,Longuda,longuda,Longuda
pdt,Low German,低地德语,Nederduits,الالمانية الدنيا,Plautdietsch,Κάτω Γερμανική,alasaksa,Bas allemand,Gearmáinis Íochtarach,निचला जर्मन,donjonjemački,alnémet,Jerman Rendah,Basso tedesco,低地ドイツ語,저지 독일어,Plautdietsch,Nedertysk,dolnoniemiecki,Baixo-alemão,Germana de jos,нижненемецкий,alemán bajo,Kijerumani cha Low,Lågtyska,ถิ่นเยอรมัน,Aşağı Almanca,Low German,baix alemany,donjonemački
lch,Luchazi,卢查齐语,Luchazi,اللوتشازي,Luchazi,Λουσάζι,luchazi,Luchazi,Luchazi,लुचाज़ी,lučazi,lucsazi,Luchazi,Luchazi,ルチャジ語,루차지어,Luchazi,Luchazi,luchazi,Lutchaze,ChiLuchazi,лучази,luchazi,Kiluchazi,Luchazi,ลูชาซี,Luçhazi,Luchazi,luchazi,lukazi
lg,Luganda,卢干达语,Luganda,اللوغندية,Ganda,Λουγκάντα,luganda,Luganda,Luganda,लुगांडा,luganda,ganda,Luganda,Luganda,ガンダ語,루간다어,Luganda,Luganda,luganda,Luganda,Luganda,луганда,luganda,Kiganda,Luganda,ลูกันดา,Luganda,Liganda,luganda,luganda
lgg,Lugbara,卢格巴拉语,Lugbara,اللوغبارا,Lugbara,Λουγκμπάρα,lugbara,Lugbara,Lugbara,लुगबारा,lugbara,lugbara,Lugbara,Lugbara,ルグバラ語,루그바라어,Lugbara,Lugbara,lugbara,Lugbara,Lugbara,лугбара,lugbara,Kilugbara,Lugbara,ลุกบารา,Lugbara Dili,Lugbara,lugbara,lugbara
lun,Lunda,隆达语,Lunda,اللوندا,Lunda,Λούντα,lunda,Lunda,Lunda,लुन्डा,lunda,lunda,Lunda,Lunda,ルンダ語,룬다어,Lunda,Lunda,lunda,Lunda,Lunda,лунда,lunda,Kilunda,Lunda,ลุนดา,Lunda,Lunda,lunda,lunda
luo,Luo,卢奥语,Luo,اللوو,Luo,Λούο,luo,Luo,Luo,लूओ,luo,luo,Luo,Luo,ルオ語,루오어,Luo,Luo,luo,Luo,Lwo,луо,luo,Kijaluo,Luo,ลูโอ,Luo Dili,Luo,luo,luo
lue,Luvale,卢瓦勒语,Luvale,اللوفال,Luena,Λουβάλε,luvale,Luvale,Luvale,लूवाल,luvale,luvale,Luvale,Luvale,ルバレ語,루발레어,Luvale,Luvale,luvale,Luvale,Luvale,лувале,luvale,Kiluvale,Luvale,ลูวาเล,Luvale,Luvale,luvale,lavale
lb,Luxembourgish,卢森堡语,Luxemburgs,ليتسبورغيش,Luxemburgisch,Λουξεμβουργιανή,luxemburg,Luxembourgeois,Lucsambuirgis,लक्सम्बर्गियन,luksemburški,luxemburgi,Luxemburg,Lussemburghese,ルクセンブルク語,룩셈부르크어,Luxemburgs,Luxembourgsk,luksemburski,Luxemburguês,Luxemburgheză,люксембургский,luxemburgués,Kiluxembourgia,Luxemburgiska,ลักเซมเบิร์ก,Lüksemburg Lehçesi,Luxembourg,luxemburguès,luksemburški
mas,Maasai,马赛语,Masai,الماساي,Maasai,Μασάι,maasai,Maasaï,Maasai,मासाई,masai,maszai,Maasai,Masai,マサイ語,마사이어,Masai,Masai,masajski,Massai,Maasai,маасаи,masai,Kimaasai,Maasai,มาไซ,Masai,Maasai,massai,masaj
mk,Macedonian,马其顿语,Masedonies,المقدونية,Mazedonisch,Μακεδονική,makedonia,Macédonien,Macadóinis,मेसिडोनियन,makedonski,macedón,Makedonia,Macedone,マケドニア語,마케도니아어,Macedonisch,Makedonsk,macedoński,Macedônio,Macedoneană,македонский,macedonio,Kimakedonia,Makedoniska,มาซิโดเนีย,Makedonca,Macedonia,macedoni,makedonski
vmw,Macua,马夸语,Makua,الماكوا,Makua,Μάκουα,macua,Makua,Macua,मकुआ,makua,makua,Makau,Macua,マクア語,마쿠아어,Macua,Makua,makua,Macua,Macua,макуа,macua,Kimakua,Makua,มาคัว,Makua Dili,Macua,makua,makua
fij-x-mct,Macuata,马库阿塔语,Macuata,ماكواتا,Macuata,Μακουάτα,macuata,Macuata,Macuata,Macuata,macuata,makuata,Macuata,Macuata,マクアタ語,마쿠아타어,Macuata,Macuata,macuata,Macuata,Macuata,мазуата,macuata,Macuata,Macuata,มาคัวตา,Macuata,Macuata,Macuata,makuata
mbc,Macushi,马库希语,Macushi,الماكوشية,Macusi,Μακούζι,makuši,Macushi,Macushi,माकूशी,makushi,makusi,Macushi,Macushi,マクシ語,마쿠시어,Macushi,Macushi,macusi,Macuxi,Macushi,макуши,macusí,Kimacushi,Macushi,มาคูชิ,Macushi,Macushi,macuxi,makusi
mzc,Madagascar Sign Language,马达加斯加手语,Malgassiese Gebaretaal,لغة الاشارات المدغشقرية,Madagassische Gebärdensprache,Νοηματική Γλώσσα της Μαδαγασκάρης,madagaskarilainen viittomakieli,Langue des signes malgache,Teanga Chomharthaíochta Mhadagascar,मेडागास्कर साइन लैंग्वेज,madagaskarski znakovni jezik,madagaszkári jelnyelv,Bahasa Isyarat Madagaskar,Lingua dei segni malgascia,マダガスカル手話,마다가스카르 수어,Malagassische Gebarentaal,Madagassisk tegnspråk,madagaskarski język migowy,Língua de sinais madagascarense,Limbajul semnelor malgaş,малагасийский жестовый,lenguaje de señas malgache,Lugha ya Ishara ya Madagascar,Madagaskiskt teckenspråk,ภาษามือมาดากัสการ์,Madagaskar İşaret Dili,Madagascar (Ngôn ngữ ký hiệu),llengua de signes malgaixa,malgaški znakovni jezik
mhi,Madi,马迪语,Madi,المادية,Madi,Μάντι,madi,Madi,Madi,माडी,madi,madi,Madi,Madi,マディ語,마디어,Madi,Madi,madi,Madi,Madi,мади,madi,Kimadi,Madi,มาดี,Madi Dili,Madi,madi,madi
mad,Madura,马都拉语,Madura,مدورا,Maduresisch,Μαντούρα,madura,Madourais,Madura,मादुरा,madurski,madurai,Madura,Madurese,マドゥラ語,마두라어,Madurees,Maduresisk,madurski,Madurês,Madura,мадурский,madurés,Kimadura,Madura,มาดูรา,Madura,Madura,madurès,madurski
mdh,Maguindanao,马京达瑙语,Maguindanao,ماغوينداناو,Magindanao,Μαγκιντανάο,maguindanao,Maguindanao,Maguindanao,माग्विनदानाओ,maguindanao,magindanao,Maguindanao,Maguindanao,マギンダナオ語,마긴다나오어,Maguindanao,Maguindanao,maguindanao,Maguindanao,Maguindanao,магинданао,maguindanao,Kimaguindanao,Maguindanao,มากินดาเนา,Maguindanao Dili,Maguindanao,magindanao,magvindanao
swb-x-orr,Mahorian (Roman),马约特语（拉丁字母）,Mahoriaans (Romeins),الماهورية (لاتينية),Mahorisch (lateinische Schrift),Μαορί (λατινικό αλφάβητο),mahori (latin.),Mahorais (latin),Mahorian (Rómhánach),महोरियन (रोमन),mahorski (latinica),mahori (latin betűs),Mahorian (Romawi),Mahoriano (caratteri latini),マホリ語（ローマ字）,마호리아어 (로마자),Shimaore (Latijns),Mahorisk (latinsk skrift),mahorian (alfabet łaciński),Maoriano (latino),Mahorian (alfabet latin),маорский (латиница),mahoriano (alfabeto latino),Kimahori (cha Kiroma),Mahorian (latinsk skrift),มาฮอเรียน (โรมัน),Mahoria (Latin Alfabesi),Mahoria (La tinh),maorès (alfabet llatí),maorski (latinično pismo)
mai,Maithili,米德勒语,Maithili,المايتيلية,Maithili,Μαϊθίλι,maithili,Maithili,Maithili,मैथिली,maithili,maithili,Maithili,Maithili,マイティリー語,마이틸리어,Maithili,Maithili,maithili,Maithili,Maithili,майтхили,maitilí,Maithili,Maithili,มายทีลี,Maithili,Maithili,maithili,majthili
mcp,Makaa,马卡语,Makaa,ماكا,Maka,Μακάα,makaa,Maka,Makaa,Makaa,makaa,makaa,Makaa,Makaa,マカ語,마카아어,Makaa,Makaa,makaa,Makaa,Makaa,мака,maka,Makaa,Makaa,มาคา,Makaa,Makaa,makaa,Makaa
