id	kanji	kana	translation
37063	我流	がりゅう	自成一派，独特的风格，闭门造车
37064	我田引水	がでんいんすい	只顾自己，为自己利益着想，卖瓜的说瓜甜，自卖自夸
37065	我知らず	われしらず	不知不觉地，无意识地，不由得
37066	我等	われら	我们，咱们，你们，汝等
37067	我見	がけん	个人之见，私见，我见
37068	我関せず焉	われかんせずえん	事不关己，与我无关
37069	戒	かい	戒律，禁止做的事情
37070	戒め	いましめ	戒，劝戒，规劝，教训
37071	戒める	いましめる	劝戒，劝告，规劝，禁
37072	戒厳	かいげん	严加戒备，戒严
37073	戒厳令	かいげんれい	戒严令
37074	戒名	かいみょう	戒名，法号，法名
37075	戒告	かいこく	警告，告戒，警告，警告处分
37076	戒壇	かいだん	戒坛，授戒的坛
37077	戒律	かいりつ	戒律
37078	戒心	かいしん	戒心，警惕，小心
37079	戒慎	かいしん	戒慎，谨慎
37080	戒禁	かいきん	戒律，禁戒
37081	戒行	かいぎょう	修行
37082	戒飭	かいちょく	儆戒，告戒，警告，谨慎
37083	或る	ある	某，有
37084	戛然	かつぜん	铿锵，嗒嗒
37085	戦	いくさ	战斗，战争
37086	戦	せん	战斗，战争，决胜负，比赛
37087	戦い	たたかい	战争，战役，战斗，斗争
37088	戦い抜く	たたかいぬく	打到底，战斗到最后
37089	戦う	たたかう	作战，打仗，进行战争，战斗
37090	戦がす	そよがす	吹动，使摇动，使颤动
37091	戦く	おののく	发抖，打战，打哆嗦，打寒噤
37092	戦ぐ	そよぐ	沙沙作响，微微摇动
37093	戦わす	たたかわす	竞赛，比赛，争论
37094	戦中派	せんちゅうは	战时派
37095	戦乱	せんらん	战乱，战争动乱
37096	戦争	せんそう	战争，战事，会战，打仗
37097	戦備	せんび	战备
37098	戦傷	せんしょう	战斗中负伤，挂彩，挂花
37099	戦列	せんれつ	战斗行列，斗争的队伍
37100	戦利品	せんりひん	战利品，缴获品
37101	戦前	せんぜん	战前，大战以前，比赛前
37102	戦力	せんりょく	军事力量，作战能力，战争潜力，力量
37103	戦功	せんこう	战功
37104	戦勝	せんしょう	战胜，胜利
37105	戦勲	せんくん	战功，军功
37106	戦友	せんゆう	战友
37107	戦史	せんし	战史
37108	戦国	せんごく	群雄割据的局面，战国
37109	戦地	せんち	战地，战场，作战的地方，前方
37110	戦域	せんいき	战域，战区
37111	戦場	せんじょう	战场
37112	戦塵	せんじん	战尘，炮火硝烟，战乱，战火
37113	戦士	せんし	战士，战士，斗士
37114	戦局	せんきょく	战局
37115	戦役	せんえき	战役，战争
37116	戦後	せんご	战后
37117	戦意	せんい	斗志
37118	戦慄	せんりつ	战栗，颤栗，不寒而栗，颤抖
37119	戦戦恐恐	せんせんきょうきょう	战战兢兢，心惊胆战
37120	戦旗	せんき	战旗
37121	戦時	せんじ	战时，战争时期
37122	戦果	せんか	战果
37123	戦機	せんき	战机
37124	戦歴	せんれき	战斗经验，战斗经历
37125	戦死	せんし	战死，阵亡，牺牲，捐躯战场
37126	戦没	せんぼつ	阵亡
37127	戦況	せんきょう	战况，战局
37128	戦法	せんぽう	战术
37129	戦渦	せんか	战争旋涡
37130	戦火	せんか	战火，兵火，战争，战事
37131	戦災	せんさい	战祸，战灾，兵燹
37132	戦犯	せんぱん	战犯
37133	戦略	せんりゃく	战略
37134	戦病死	せんびょうし	作战期间病死，在前线病死
37135	戦禍	せんか	战祸，战争的创伤
37136	戦端	せんたん	战端
37137	戦線	せんせん	战线，前线
37138	戦績	せんせき	战绩，比赛的成绩
37139	戦艦	せんかん	战列舰，战斗舰
37140	戦術	せんじゅつ	战术，策略
37141	戦記	せんき	战事记录，战记，战史
37142	戦費	せんぴ	战争费用
37143	戦跡	せんせき	战迹，战争遗迹
37144	戦車	せんしゃ	战车，兵车，坦克
37145	戦闘	せんとう	战斗
37146	戦陣	せんじん	阵，阵势，阵法，战场
37147	戦隊	せんたい	小型舰队，支队
37148	戦雲	せんうん	战云
37149	截る	きる	切，割，剁，斩
37150	截然	さいぜん	截然
37151	戯け	たわけ	蠢事，愚蠢的勾当，蠢才，混帐东西
37152	戯ける	たわける	耍笑，说蠢话，做蠢事
37153	戯け者	たわけもの	蠢才，混蛋，混帐东西
37154	戯れ	たわむれ	戏言，玩笑，笑话，玩耍
37155	戯れる	ざれる	嬉戏，戏闹，闹着玩儿，开玩笑
37156	戯れる	たわむれる	游戏，玩耍，说说笑笑，耍笑
37157	戯れ事	ざれごと	闹着玩儿，淘气
37158	戯れ歌	ざれうた	戏歌，打油诗
37159	戯れ言	ざれごと	戏言，玩笑的话
37160	戯作	ぎさく	写着玩儿的作品，戏作，通俗小说
37161	戯文	ぎぶん	滑稽文章，南戏，戏文
37162	戯曲	ぎきょく	剧本，戏剧
37163	戯画	ぎが	漫画，滑稽画，讽刺画，卡通
37164	戯言	たわごと	蠢话，傻话，胡话，胡说八道
37165	戯評	ぎひょう	社会时评，讽刺性评论
37166	戴冠	たいかん	加冕
37167	戴天	たいてん	戴天，生存于世
37168	戸	こ	户
37169	戸	と	门，大门，拉门，窗户
37170	戸主	こしゅ	户主，家长
37171	戸別	こべつ	按户，挨门
37172	戸口	ここう	户口
37173	戸口	とぐち	房门，大门
37174	戸外	こがい	户外，屋外，室外
37175	戸惑い	とまどい	找不着门，徘徊嘇不知所措，困惑，犹疑不决
37176	戸惑う	とまどう	找不着门，徘徊，不知所措，犹疑不决
37177	戸戸	ここ	家家户户
37178	戸数	こすう	户数，家数
37179	戸板	といた	门板，护窗板
37180	戸棚	とだな	橱，柜
37181	戸毎	こごと	每户，各家，家家户户
37182	戸田芝	とだしば	野古草
37183	戸籍	こせき	户口，户籍
37184	戸締まり	とじまり	锁门
37185	戸袋	とぶくろ	防雨窗套
37186	戸車	とぐるま	滑轮，门滑轮
37187	戸閾	とじきみ	门槛
37188	戸障子	としょうじ	门和隔扇
37189	戻し交配	もどしこうはい	回交
37190	戻す	もどす	还，归还，送回，退回
37191	戻り	もどり	恢复原状，回家，回来，倒钩
37192	戻り売り	もどりうり	行市回升时脱手
37193	戻り掛け	もどりがけ	归途，归程，回来的路上
37194	戻り梅雨	もどりつゆ	再现梅雨
37195	戻り足	もどりあし	行市止跌，回稳
37196	戻る	もどる	返回，回到，倒退，折回
37197	房	ふさ	缨，穗子，一串，一挂
37198	房	ぼう	房间
37199	房事	ぼうじ	房事
37200	所	とこ	地方，点儿
37201	所	ところ	地方，地区，住处，家
37202	所	どころ	"岂止～～，岂但～～，慢说～～，哪谈得上

值得～～的地方，应该～～的地方，生产～～地方"
37203	所与	しょよ	所与，给予，前提条件，与件
37204	所以	ゆえん	原因，理由，来由
37205	所伝	しょでん	所传，流传，传说
37206	所作	しょさ	举止，动作，行为
37207	所作事	しょさごと	舞蹈，作派，舞剧
37208	所信	しょしん	所信，信念
37209	所内	しょない	所内
37210	所出	しょしゅつ	生，所生，出生，出生的地方
37211	所労	しょろう	因劳致疾，疾病
37212	所動	しょどう	被动
37213	所化	しょけ	僧侣的弟子，寺中的修行僧
37214	所収	しょしゅう	所收，所集
37215	所司	しょし	官厅的官员
37216	所司代	しょしだい	官厅的官员的代理
37217	所員	しょいん	工作人员，职员
37218	所在	しょざい	住处，所在地，所在，下落
37219	所在ない	しょざいない	无事可做，无聊
37220	所報	しょほう	研究所等的刊物，所报
37221	所嫌わず	ところきらわず	到处，不论哪里
37222	所存	しょぞん	主意，想法，打算
37223	所定	しょてい	指定，规定
37224	所属	しょぞく	所属，附属
37225	所帯	しょたい	家庭，户口，户
37226	所帯持ち	しょたいもち	成家，养家活口，拉家带口，操持家务
37227	所帯染みる	しょたいじみる	成家的思
37228	所帯窶れ	しょたいやつれ	因操持家务而面容憔悴
37229	所帯道具	しょたいどうぐ	家庭用具
37230	所得	しょとく	所得，收入，收益，所得
37231	所得顔	ところえがお	得意洋洋的神情
37232	所思	しょし	所思，所想
37233	所感	しょかん	所感，感想
37234	所懐	しょかい	所怀，所感，感想
37235	所所	しょしょ	各处，处处，到处
37236	所所	ところどころ	这儿那儿，有些地方
37237	所持	しょじ	所持，所有，携带
37238	所持品	しょじひん	携带的物品
37239	所持者	しょじしゃ	持有者
37240	所持金	しょじきん	所带款项
37241	所書き	ところがき	地址
37242	所有	しょゆう	所有
37243	所有格	しょゆうかく	所有格
37244	所有権	しょゆうけん	所有权
37245	所有欲	しょゆうよく	占有欲
37246	所有物	しょゆうぶつ	所有物
37247	所有者	しょゆうしゃ	所有者，物主
37248	所望	しょもう	所望，希望，希求物，要求
37249	所期	しょき	所期，期待，预期
37250	所柄	ところがら	处所的情形丄性质丄
37251	所業	しょぎょう	所作所为，行为，行径
37252	所為	しょい	所为，所做的事，缘故
37253	所為	せい	原因，缘故，影响，关系
37254	所狭し	ところせまし	地方狭窄
37255	所産	しょさん	所产，果实
37256	所用	しょよう	所用，使用，所用物品，事情
37257	所由	しょゆう	所由，来由，根据，原因
37258	所番地	ところばんち	地址门牌
37259	所相	しょそう	被动式
37260	所管	しょかん	所管，管辖，主管的范围
37261	所縁	しょえん	因缘，关系
37262	所縁	ゆかり	因缘，关系
37263	所自慢	ところじまん	夸耀乡土
37264	所蔵	しょぞう	收藏
37265	所行	しょぎょう	所作所为，行为，行径
37266	所要	しょよう	所要，所需，需要，必要
37267	所見	しょけん	所见，观察结果，意见，看法
37268	所詮	しょせん	归根到底，结局，毕竟，反正
37269	所説	しょせつ	主张，意见
37270	所論	しょろん	所论，论点
37271	所載	しょさい	刊载，所载，登载
37272	所轄	しょかつ	所管，所辖，管辖
37273	所違い	ところちがい	弄错地址
37274	所長	しょちょう	所长，处长，主任
37275	所領	しょりょう	所领土地，领地
37276	所願	しょがん	所愿，愿望
37277	扁形	へんけい	扁平的形状，扁形
37278	扁形動物	へんけいどうぶつ	扁形动物
37279	扁桃腺	へんとうせん	扁桃腺，扁桃体
37280	扁舟	へんしゅう	小舟，扁舟
37281	扁虫	へんちゅう	扁虫，无环节的扁形寄生虫
37282	扁額	へんがく	匾额，匾
37283	扇	おうぎ	扇子，折扇
37284	扇ぎ立てる	あおぎたてる	用力扇，煽动
37285	扇ぐ	あおぐ	扇，煽动
37286	扇動	せんどう	煽动，鼓动，蛊惑
37287	扇子	せんす	扇子，折扇
37288	扇形	おうぎがた	扇形，扇子形状
37289	扇形	せんけい	扇形，扇状
37290	扇情	せんじょう	挑情，引起情欲，诲淫，色情
37291	扇状	せんじょう	扇形
37292	扇面	せんめん	扇面
37293	扇風機	せんぷうき	风扇，电扇
37294	扉	とびら	门，门扇，扉页
37295	手	て	"手，手掌，臂，胳膊

～～的人，方，边，方

用手拿的，身边，手头，手提"
37296	手ずから	てずから	亲手，亲自
37297	手っ取り早い	てっとりばやい	迅速，麻利，简单，直截了当
37298	手っ甲	てっこう	手背套
37299	手に手に	てにてに	各人手中，各自
37300	手の内	てのうち	手腕，本领，手心，势力范围
37301	手の甲	てのこう	手背
37302	手の筋	てのすじ	手纹，手相
37303	手の者	てのもの	部下，手下
37304	手はず	てはず	程序，步骤，准备
37305	手ひどい	てひどい	严重的，沉重的，毫不客气，严厉
37306	手ふき	てふき	手巾
37307	手ぶら	てぶら	空着手，赤手空拳
37308	手まさぐり	てまさぐり	用手摸索，用手摆弄
37309	手まめ	てまめ	勤快，勤勤恳恳，手巧
37310	手まり	てまり	拍着玩儿的球，用线扎的球，小皮球
37311	手も無く	てもなく	容易，简单，不费事
37312	手一杯	ていっぱい	竭尽全力，尽量，没有空闲，忙得不可开交
37313	手下	てした	手下，部下，帮手，喽罗
37314	手不足	てぶそく	人手不足
37315	手並み	てなみ	本领，本事，能耐
37316	手中	しゅちゅう	手中，所有
37317	手事	てごと	间奏部分，过门，策略，计谋
37318	手交	しゅこう	亲手交给
37319	手仕事	てしごと	手艺活儿
37320	手仕舞	てじまい	了结交易
37321	手付かず	てつかず	还没使用，还没着手，还没沾手
37322	手付き	てつき	手的姿势，手的动作
37323	手付け	てつけ	定钱，押金，保证金
37324	手代	てだい	小吏，二掌柜的，伙计
37325	手休め	てやすめ	歇口气，稍事休息
37326	手伝い	てつだい	帮忙，帮助，帮手，帮忙者
37327	手伝う	てつだう	帮忙，帮助，加上，还由于
37328	手作り	てづくり	自己做，手制
37329	手偏	てへん	提手旁
37330	手傷	てきず	负伤，受伤
37331	手元	てもと	身边，手头，手里，膝下
37332	手先	てさき	手指尖儿，手下，部下，喽罗
37333	手入らず	ていらず	不费事，省事，未触动，原封不动，其实
37334	手入れ	ていれ	拾掇，修整，维修，修剪
37335	手兵	しゅへい	亲兵，手下的兵
37336	手内職	てないしょく	手工副业，家庭副业
37337	手写	しゅしゃ	抄写
37338	手出し	てだし	插手，参与，介入，干涉
37339	手刀	てがたな	用手掌侧面劈砍
37340	手分け	てわけ	分手做，分头搞，分工
37341	手切れ	てぎれ	分手，断绝关系，吹了，断绝
37342	手切れ金	てぎれきん	赡养费
37343	手利き	てきき	能手，好手
37344	手刷り	てずり	手工木版印刷
37345	手前	てまえ	跟前，这边，靠近自己这方面，礼法
37346	手前みそ	てまえみそ	自吹自擂，自我吹嘘
37347	手前勝手	てまえがって	只顾自己方便，自己随便，自私自利
37348	手加減	てかげん	斟酌，体谅，照顾，留情
37349	手助け	てだすけ	帮，帮助
37350	手動	しゅどう	手动，手摇
37351	手勢	てぜい	部卒，手下的兵
37352	手厚い	てあつい	热情，热诚，殷勤，丰厚
37353	手厳しい	てきびしい	厉害，严厉
37354	手取り	てとり	技巧巧妙，会操纵人
37355	手取り	てどり	用手缠线，实收额，纯收入
37356	手取り足取り	てとりあしとり	连手带脚，抓住手脚，手把手，亲自
37357	手口	てぐち	手法，方法，手段
37358	手古舞	てこまい	女扮男装的一种舞蹈
37359	手合い	てあい	小子，家伙，东西，种类
37360	手合わせ	てあわせ	比赛，较量，陪练
37361	手向かい	てむかい	反抗，对抗，抵抗
37362	手向かう	てむかう	还手，抵抗，反抗
37363	手向け	たむけ	供神佛，饯别
37364	手向ける	たむける	奉献，饯行，临别赠言
37365	手品	てじな	戏法，魔术，欺骗手法，骗术
37366	手品師	てじなし	变戏法的，魔术师
37367	手回し	てまわし	准备，预先筹划，布置，安排
37368	手回り	てまわり	身边，手头，随身携带的东西
37369	手土産	てみやげ	随手携带的礼物，简单礼品
37370	手垢	てあか	手上的油泥
37371	手堅い	てがたい	踏实，坚实，靠得住，脚踏实地
37372	手塩	てしお	小碟，接碟，亲手抚养
37373	手奇麗	てぎれい	好，漂亮，干净利落
37374	手始め	てはじめ	开始，开头，起头，开端
37375	手小荷物	てこにもつ	小件行李，手提行李
37376	手工	しゅこう	手工艺，手工
37377	手工業	しゅこうぎょう	手工业
37378	手工芸	しゅこうげい	手工艺
37379	手巻き	てまき	手卷，用手卷，手摇，用手上弦
37380	手帳	てちょう	笔记本，杂记本
37381	手幅	てはば	一手宽，一掌宽
37382	手広い	てびろい	宽，宽广，宽绰，宽敞
37383	手延べ	てのべ	手拉，手抻
37384	手弁当	てべんとう	自己带饭去工作，无报酬的劳动
37385	手引き	てびき	辅导，启蒙，入门，初阶
37386	手弱女	たおやめ	婀娜的女子，窈窕淑女
37387	手強い	てごわい	不好对付，难斗，不易击败
37388	手強い	てづよい	强烈，厉害
37389	手当たり次第	てあたりしだい	抓到什么算什么，顺手摸着什么就～～，遇到什么便，胡乱
37390	手当（て）	てあて	津贴，补贴，补助费，补助费
37391	手形	てがた	手印，掌印，票据
37392	手彫り	てぼり	手雕
37393	手待ち	てまち	等待走棋
37394	手心	てごころ	斟酌，酌量，酌情，分寸
37395	手応え	てごたえ	一定打中的感觉，反应，效果，劲儿
37396	手性	てしょう	手的巧拙
37397	手慣らし	てならし	练习，演习，预习，遛遛手
37398	手慣れる	てなれる	用惯，使惯，熟练
37399	手慰み	てなぐさみ	消遣，解闷，赌钱，赌博
37400	手懐ける	てなずける	驯服，使归服，使依从，使就范
37401	手懸かり	てがかり	抓处，抓头儿，抓手，线索
37402	手打ち	てうち	言和，和解，折衷，成交
37403	手技	しゅぎ	手的技术，手艺
37404	手折る	たおる	采摘，折采
37405	手抜かり	てぬかり	疏忽，遗漏，漏洞
37406	手抜き	てぬき	偷工
37407	手押し	ておし	手推，手压
37408	手押し車	ておしぐるま	手推车，手车
37409	手拍子	てびょうし	打拍子，偶一失慎
37410	手招き	てまねき	招手，用手招呼
37411	手拭い	てぬぐい	布手巾
37412	手持ち	てもち	手头有的，手头的
37413	手持ちぶさた	てもちぶさた	闲得无聊
37414	手挟む	たばさむ	佩带，夹着拿，夹
37415	手振り	てぶり	手势，交易所经纪人
37416	手捌き	てさばき	用手指操作
37417	手捏ね	てづくね	完全用手做的陶瓷
37418	手捕り	てどり	用手捕捉
37419	手掛ける	てがける	亲自动手，亲手做，亲自照料，亲自照管
37420	手探り	てさぐり	摸索，摸，试探，摸索
37421	手控え	てびかえ	记下来，备忘录，笔记本，拖延
37422	手控える	てびかえる	暂缓，推迟，拖延，记下来
37423	手掴み	てづかみ	拿手抓
37424	手揃い	てぞろい	同花
37425	手提げ	てさげ	手提袋，手提包，提篮
37426	手摺り	てすり	扶手，栏杆
37427	手擦れ	てずれ	用手磨破
37428	手放し	てばなし	撒开手，放手，无拘无束，毫无顾忌
37429	手放す	てばなす	卖掉，出售，转让，赠送
37430	手数	てかず	麻烦，周折，～～步
37431	手数	てすう	费事，费心，麻烦
37432	手数入り	でずいり	"""横纲鵂的入场式"
37433	手数料	てすうりょう	佣钱，手续费，回扣
37434	手文庫	てぶんこ	文卷匣，小型文卷箱
37435	手料理	てりょうり	亲手做的菜，家里做的菜
37436	手斧	ちょうな	锛子，木锛
37437	手斧	ておの	斧子
37438	手旗	てばた	手中的小旗，红白小旗
37439	手早い	てばやい	麻利，敏捷
37440	手暗がり	てくらがり	阴影，手影
37441	手書	しゅしょ	亲笔写，手书
37442	手書き	てかき	书法家，善于书写的人
37443	手書き	てがき	手写，手抄
37444	手本	てほん	字帖，画帖，范本，模范
37445	手札	てふだ	手里的牌，四寸
37446	手枕	てまくら	枕着胳膊，曲肱为枕
37447	手枷	てかせ	手铐
37448	手柄	てがら	功劳，功勋，功绩
37449	手柄話	てがらばなし	表功之谈
37450	手柄顔	てがらがお	居功自傲的神色
37451	手染め	てぞめ	手工染
37452	手桶	ておけ	提桶，带梁的水桶
37453	手植え	てうえ	亲手植，亲手栽
37454	手業	てわざ	手工，手艺，手技
37455	手榴弾	しゅりゅうだん	手榴弹
37456	手榴弾	てりゅうだん	手榴弹
37457	手槍	てやり	短枪，短矛
37458	手段	しゅだん	手段，办法
37459	手水	ちょうず	洗脸，洗手，厕所，如厕
37460	手水	てみず	洗手水，沾在手上的水，把手沾上水，沾手的水
37461	手沢	しゅたく	手泽，先人的遗物
37462	手法	しゅほう	手法，技巧
37463	手洗い	てあらい	洗手，洗手盆，洗手用的水，厕所
37464	手活け	ていけ	亲手插花
37465	手淫	しゅいん	手淫
37466	手渡し	てわたし	亲手交给，面交，递给，传递
37467	手渡す	てわたす	面交，亲手交给，递给，传递
37468	手漉き	てすき	手工抄制
37469	手焙り	てあぶり	手炉
37470	手焼き	てやき	手烤，亲手烤
37471	手燭	てしょく	带把儿的蜡台
37472	手狭	てぜま	狭窄
37473	手玉	てだま	手上戴的玉，小布袋
37474	手球	てだま	主球，捅的球
37475	手痛い	ていたい	重大，严重，严厉，沉重
37476	手療治	てりょうじ	自己治疗，自己医疗
37477	手癖	てくせ	手不稳，有盗癖
37478	手盛り	てもり	自己盛
37479	手直し	てなおし	修正，修改
37480	手直り	てなおり	重新调整让子
37481	手相	てそう	手相，掌纹
37482	手真似	てまね	手势，手式，用手比画
37483	手短	てみじか	简单，简略丯
37484	手秤	てばかり	手提小秤，用手掂量，手量
37485	手空き	てあき	闲着，手头没有工作
37486	手立て	てだて	方法，手段，办法
37487	手筋	てすじ	手纹，掌纹，笔法，手法
37488	手箒	てぼうき	小笤帚
37489	手管	てくだ	手腕，圈套
37490	手箱	てばこ	匣子
37491	手簡	しゅかん	书信，亲笔信
37492	手籠	てかご	篮子，提篮
37493	手紙	てがみ	信，书信，函，尺牍
37494	手細工	てざいく	手工艺
37495	手絡	てがら	扎头绳
37496	手続き	てつづき	手续
37497	手綱	たづな	缰，缰绳
37498	手締め	てじめ	拍手贺成
37499	手編み	てあみ	手织，自己织
37500	手緩い	てぬるい	太宽大，不严格，迟钝
37501	手練	しゅれん	娴熟，熟练，灵巧
37502	手練	てれん	花招，欺骗，哄骗
37503	手縄	てなわ	绳子，捕绳
37504	手縫い	てぬい	用手缝
37505	手織り	ており	手织，家织
37506	手繰り上げる	たぐりあげる	拉上来
37507	手繰り込む	たぐりこむ	拉到身边
37508	手繰る	たぐる	拉，回忆，追忆
37509	手羽	てば	鸡胸脯肉
37510	手羽先	てばさき	鸡翅膀肉
37511	手習い	てならい	习字，练字，书法
37512	手職	てしょく	手艺，手工
37513	手腕	しゅわん	手腕，才干，本事，才能
37514	手腕家	しゅわんか	有才能的人，有本事的人，有实力的人，有手腕的人
37515	手芸	しゅげい	手工艺
37516	手荒	てあら	蛮横，野蛮，粗手粗脚，粗暴
37517	手荒い	てあらい	粗鲁，粗暴，粗手粗脚
37518	手荷物	てにもつ	随身携带的东西，随身行李
37519	手落ち	ておち	过失，过错，疏忽，疏失
37520	手蔓	てづる	端倪，头绪，线索，庤梀傃 [偰偁偦傃]  ///   玩儿，玩耍，消遣，玩具
37521	手薄	てうす	缺少，不足，人手少，不充分
37522	手術	しゅじゅつ	手术，开刀
37523	手袋	てぶくろ	手套
37524	手裏剣	しゅりけん	撒手剑，镖，飞镖
37525	手製	てせい	自制，手制
37526	手解き	てほどき	辅导，入门
37527	手触り	てざわり	手感，手摸时的感觉
37528	手討ち	てうち	手斩，亲斩
37529	手記	しゅき	手记，亲手记录
37530	手証	てしょう	现场的证据
37531	手詰まり	てづまり	无计可施，没有办法，手头拮据，没有步走
37532	手詰め	てづめ	催逼，紧逼
37533	手話	しゅわ	用手势谈话，手语，哑语
37534	手負い	ておい	负伤，受伤
37535	手足	しゅそく	手和足，部下，股肱
37536	手足	てあし	手脚，手足，俯首帖耳的人，左右手
37537	手跡	しゅせき	笔迹
37538	手踊り	ておどり	手舞，集体舞，配合三味线的舞蹈
37539	手車	てぐるま	独轮车，鸡公车，手轿子
37540	手軽	てがる	简单，简便，轻易
37541	手軽い	てがるい	简便，轻易，简单
37542	手込め	てごめ	迫害，暴行，强奸
37543	手近	てぢか	手边，眼前，近旁，左近
37544	手近い	てぢかい	手边上，眼前，浅近
37545	手透き	てすき	有空，有工夫
37546	手遅れ	ておくれ	耽误，为时已晚，错过时机
37547	手遊び	てすさび	游戏，消遣，消闲，解闷
37548	手道具	てどうぐ	随手用的器具，日用器具
37549	手違い	てちがい	错误，差错
37550	手選	てせん	手选，用手挑矿
37551	手都合	てつごう	手头上的工作情况，手头上的忙闲
37552	手酌	てじゃく	自酌
37553	手配	てはい	筹备，安排，部署，布置
37554	手配り	てくばり	部署，布置，安排，准备
37555	手配師	てはいし	违法的日工职业介绍人
37556	手金	てきん	定金，定钱，押金
37557	手釣り	てづり	直接用手甩线钓鱼
37558	手鉤	てかぎ	鹰咀钩，救火钩，带把儿搭钩
37559	手鋸	てのこ	手锯
37560	手錠	てじょう	手铐
37561	手鍋	てなべ	手提锅，带提梁的锅
37562	手鏡	てかがみ	带把儿的小镜子
37563	手鑑	てかがみ	古代墨迹断片帖
37564	手長	てなが	手长，臂长，手不稳，好偷
37565	手間	てま	劳力和时间，工夫，工钱
37566	手間つぶし	てまつぶし	费工，费事
37567	手間仕事	てましごと	费事的工作，零散工作
37568	手間取る	てまどる	费事，费工夫，费时间，耽误
37569	手間暇	てまひま	工夫，时间和劳力
37570	手間賃	てまちん	工钱，手工钱
37571	手際	てぎわ	手法，技巧，程序，手腕
37572	手離れ	てばなれ	离手，不需照料
37573	手頃	てごろ	正合手，适合，适称
37574	手順	てじゅん	次序，层次，程序
37575	手飼い	てがい	自己饲养，自家饲养
37576	手首	てくび	腕子，手腕子，手脖子
37577	手駒	てごま	手里的棋子，部下，喽罗
37578	手鼻	てばな	用手擤鼻涕
37579	才	さい	才能，才干，才华，才智
37580	才はじける	さいはじける	卖弄小聪明，乖巧，很有机变，机警
37581	才人	さいじん	有才能的人，聪明才智的人，才子
37582	才力	さいりょく	才干，才能
37583	才取	さいとり	经纪人，掮客，力工，壮工
37584	才名	さいめい	才名
37585	才器	さいき	才器，才具，才干
37586	才女	さいじょ	才女，才媛
37587	才媛	さいえん	才女，才媛
37588	才子	さいし	才子
37589	才学	さいがく	才学，才能和学识
37590	才幹	さいかん	才干，才能，能力
37591	才徳	さいとく	才德
37592	才技	さいぎ	技能，才能，本领
37593	才望	さいぼう	才望，才名，才能和名望
37594	才槌	さいづち	小木槌
37595	才槌頭	さいづちあたま	前后凸出的锛儿头，南北头
37596	才気	さいき	才华，才气
37597	才物	さいぶつ	才子，有才能的人，多才多艺的人
37598	才略	さいりゃく	才略，才能和智谋，巧计，诡计
37599	才知	さいち	才智
37600	才筆	さいひつ	有才华的文笔，文才
37601	才能	さいのう	才能，才干，才华
37602	才腕	さいわん	干练的手腕，才干，才能
37603	才色	さいしょく	才色，才貌
37604	才芸	さいげい	才艺，才能和技艺
37605	才華	さいか	才华
37606	才蔵	さいぞう	相声的配角，捧哏的，唯唯诺诺的人，随声附和的人，应声虫
37607	才覚	さいかく	才智，机智，机灵，计划
37608	才識	さいしき	才智和见识
37609	才走る	さいばしる	才气过剩，过分聪明，锋芒外露
37610	才量	さいりょう	才智和度量，体积和重量，尺码，容积
37611	打ち	うち	打，击，稍微
37612	打ちのめす	うちのめす	打倒，打躺下，打得起不来，给予严重打击
37613	打ちのめす	ぶちのめす	狠打，打倒，打垮
37614	打ち上げ	うちあげ	发射，演出结束，比赛结束，工作结束时的宴会
37615	打ち上げる	うちあげ打ち上げ花火 	焰火，烟火，礼花
37616	打ち下ろす	うちおろす	从上往下打
37617	打ち付ける	うちつける	碰，撞，钉，撞击
37618	打ち倒す	うちたおす	打倒下，打翻在地，击败，打倒
37619	打ち傷	うちきず	打伤，碰伤
37620	打ち出し	うちだし	散戏，散场，锤成或压出凸花纹，凸纹制作模型
37621	打ち出す	うちだす	锤成或压出凸花纹，提出，打散场鼓，散戏
37622	打ち出の小槌	うちでのこづち	万宝槌
37623	打ち分け	うちわけ	平局，不分胜负
37624	打ち切り	うちきり	截止，结束，中止
37625	打ち切る	うちきる	停止，截止，结束，中止
37626	打ち割る	うちわる	打碎，打破，坦白，说实话
37627	打ち勝つ	うちかつ	战胜，克服，打法胜过对方
37628	打ち合い	うちあい	相互猛击
37629	打ち合う	うちあう	互打，对打
37630	打ち合わせ	うちあわせ	事先商量，碰头
37631	打ち合わせる	うちあわせる	使～～相碰，互击，对打，商量
37632	打ち噛ます	ぶちかます	低头以额抵胸
37633	打ち壊し	ぶちこわし	打碎，破坏，糟蹋，毁坏
37634	打ち壊す	うちこわす	破坏，毁坏，拆毁，捣毁
37635	打ち壊す	ぶちこわす	弄坏，打碎，砸烂，破坏
37636	打ち寄せる	うちよせる	滚来，迫近，靠近，冲来
37637	打ち寛ぐ	うちくつろぐ	宽畅，松快，悠闲自在，无拘无束
37638	打ち崩す	うちくずす	狠狠地打投球手，把对方的气焰压下去，击溃，打垮
37639	打ち延ばす	うちのばす	锤薄
37640	打ち当たる	ぶちあたる	碰上
37641	打ち所	うちどころ	碰撞的地方，应打上记号的地方
37642	打ち払う	うちはらう	掸，赶走，驱散，击溃
37643	打ち抜く	うちぬく	穿洞，打通，打眼儿，钻孔
37644	打ち抜く	ぶちぬく	打穿，打通
37645	打ち拉ぐ	うちひしぐ	打垮，摧残
37646	打ち捨てる	うちすてる	不管，置之不理
37647	打ち据える	うちすえる	痛打，打得站不起来
