word,phonetic,translation
petulant,'petʃәlәnt,"a. 任性的, 暴躁的, 易生气的, 难以取悦的"
petulantly,'petjuləntli,adv. 任性地；脾气坏地
petunia,"pi'tju:njә, -niә",n. [植]矮牵牛花
pew,pju:,"n. 教堂长椅, 会众, 座位\nvt. 为(教堂)安装座位, 把...围在一起"
pewter,'pju:tә,n. 白蜡；青灰色
peyote,pei'әjti,"[医] 拍约他, 仙人球膏(制自墨西哥仙人球的麻醉剂)"
phaeton,'feitn,n. 一种轻快的四轮马车
phage,feidʒ,n. 噬菌体\n[化] 噬菌体
phalanx,'fælæŋks,"n. 方阵, 密集队列, 密集的人群(或兽群), 指骨, 趾骨\n[医] 指[趾]骨"
phalarope,'fælәrәup,n. 瓣蹼鹬
phallic,'fælik,"a. 阴茎的, 生殖器的, 阳物崇拜的\n[医] 阴茎的"
phallocentric,ˌfæləʊˈsentrɪk,a. 强调男权观点的
phallus,'fælәs,"n. 阳物形象, 阴茎, 阴蒂, 交接器原基\n[医] 阴茎"
phantasm,'fæntæzәm,"n. 幻影, 梦境, 幽灵, 心像, 幻像\n[医] 幻象"
phantasmagoria,.fæntæzmә'gɒ:riә,"n. 千变万化的情景, 幻灯的一种, 幻影汇集, 幻觉效应"
phantasmagoric,.fæntæzmә'gɒ:rik,"a. 幻影似的, 变幻不定的"
phantasmagorical,ˌfæntæzmə'ɡɒrɪkl,a. 变化无常的；梦幻般的
phantasy,'fæntәsi,"n. 幻想, 怪念头, 想象\nvt.vi. 幻想, 怪念头, 想象"
phantom,'fæntәm,"n. 幻影, 虚位, 幽灵, 化身, 令人恐惧的事物, 骇人的想法\na. 幻觉的, 幻影的, 幽灵的, 虚无飘渺的, 捉摸不定的, 有名无实的"
pharaoh,'færәu,"n. 法老, 暴君\n[法] 法老, 暴君"
pharaonic,,a. （古埃及王）法老的; 像法老的; 暴君（般）的
pharisee,'færisi:,"n. 伪君子, 伪善者"
pharma,,n. 制药公司
pharmaceutical,",fɑ:mә'sju:tikәl","a. 药学的, 制药的, 药用的, 药物的, 药剂师的, 药师的\nn. 药品, 成药, 药剂"
pharmacist,'fɑ:mәsist,"n. 药师, 药品商, 药商, 药剂师\n[医] 药师, 调剂员, 药商"
pharmacognosy,",fɑ:mә'kɔ^nәsi",[化] 生药学\n[医] 生药学
pharmacokinetic,ˌfɑ:məkoʊknetɪk, [医]药物代谢动力学
pharmacokinetics,",fɑ:mәkәu,kai'netiks",[化] 药动学
pharmacologic,,"a. 药理学, 药物学"
pharmacological,.fɑ:mә'kɒlәʒikl,"a. 药理学的, 药物学的\n[医] 药理学的"
pharmacologist,.fɑ:mә'kɒlәdʒist,"n. 药理学家, 药物学家\n[医] 药理学家"
pharmacology,.fɑ:mә'kɒlәdʒi,"n. 药理学, 药物学\n[化] 药理学"
pharmacopoeia,.fɑ:mәkә'pi:ә,"n. 药典, 一批备用药品\n[化] 药典"
pharmacotherapy,",fɑ:mәkә'θerәpi",[医] 药物疗法
pharmacy,'fɑ:mәsi,"n. 药房, 配药学, 制药业\n[医] 药学, 药剂学, 调剂学, 药房"
pharyngeal,",færin'dʒi:әl, fә'rindʒi-",a. 咽的\n[医] 咽的
pharynx,'færiŋks,n. 咽\n[医] 咽
phase,feiz,"n. 时期, 局面, 方面, 位相, 相, 阶段\nvt. 使调整相位, 使定相, 使一致, 逐步执行, 实行\n[计] 阶段"
phased,feizd,a. 定相的
phaser,'feizә,[电] 相位器
phasing,'feiziŋ,[电] 定相
phd,,abbr. 哲学博士学位（Doctor of Philosophy）
pheasant,'feznt,"n. 雉鸡, 野鸡, 雉科鸟"
phenobarbital,",fi:nәu'bɑ:bitәl",n. 苯巴比妥\n[化] 苯巴比妥
phenol,'fi:nɒl,"n. 苯酚, 石炭酸, 羟基类化合物\n[化] 酚; 苯酚"
phenolic,fi'nɒlik,"a. 酚的, 石炭酸的, 酚醛树脂的\n[医] 酚的"
phenology,fi'nɒlәdʒi,"n. 物候学, 物候关系\n[医] 物候学"
phenom,fi'nɒm,"n. 杰出人才, 特别的事情"
phenomenal,fi'nɒminәl,"a. 现象的, 能知觉的, 异常的, 显著的, 惊人的"
phenomenally,fi'nɔminәli,"adv. 现象, 从感官认识到, 非凡, 出众"
phenomenological,fi.nɒminә'lɒdʒikl,"a. 现象学的, 现象论的"
phenomenologist,,n. 现象学家；现象论学家 (phenomenology的变形)
phenomenology,fi.nɒmi'nɒlәdʒi,"n. 现象学, 现象论\n[医] 现象学"
phenomenon,fi'nɒminәn,"n. 现象, 迹象, 表现, 奇迹, 奇才\n[化] 现象"
phenotype,'fi:nәtaip,"n. 表现型, 有共同表现型的生物群体, 遗传环境互应结果\n[医] 表型, 显型"
phenotypic,"'fi:nә,tipik","[医] 表型的, 显型的"
phenylalanine,.feni'lælәni:n,n. 苯丙氨酸\n[化] 苯基丙氨酸
phenylketonuria,",fenәl,ki:tә'njuәriә, ,fi:nil-",[医] 苯丙酮酸尿
phenylpropanolamine,fenɪlprɒpənəʊ'læmi:n,n. 苯丙醇胺（一种血管收缩和中枢神经兴奋药）
pheromone,'ferәmәun,[化] 性外激素; 信息激素
phew,fju:,"interj. 咳, 哦, 唷"
phi,fai,"n. 希腊语的第二十一个字母(Φ,φ)"
phial,'faiәl,"n. 管形瓶, 小药瓶\n[医] 管[形]瓶"
Philadelphian,,费城人\n费城的\n费城人的
philander,fi'lændә,"vi. 玩弄女性, 调情\n[法] 追求女性, 调戏妇女, 玩弄"
philanderer,"fi'lændәrә(r),fә-","n. 追求女性者, 爱情不专一的男子"
philandering,fɪˈlændərɪŋ,"v. 调戏, 玩弄女性( philander的现在分词 )"
philanthropic,fi'lænθrәpic,"a. 慈善(事业)的, 博爱的, 乐善好施的\n[法] 博爱的, 仁慈的, 慈善事业的"
philanthropist,fi'lænθrәpist,"n. 慈善家, 博爱主义者, 乐善好施的人\n[法] 慈善家, 博爱主义者"
philanthropy,fi'lænθrәpi,"n. 慈善, 仁慈, 博爱, 慈善事业, 慈善机构(团体)"
philharmonic,.filɑ:'mɒnik,"a. 爱好音乐的, 交响乐团的, 爱乐团体的\nn. 音乐爱好者, 音乐协会, 音乐会, 交响乐团"
Philippine,'filipi:n,"a. 菲律宾(群岛)的, 菲律宾人的"
philistine,'filistain,"n. 庸人, 门外汉, 仇敌, 俗气的人\na. 俗气的, 无教养的"
philistinism,"'filistinizәm, fi'lis-","n. 市侩作风, 庸俗气味"
philodendron,.filә'dendrәn,n. 喜林芋
philological,.filә'lɒdʒikl,"a. 语文学的, 文献学的"
philologist,fi'lɒlәdʒist,"n. 语文学者, 文献学者"
philology,fi'lɒlәdʒi,"n. 语文学, 文献学"
philosophe,",filə'zɔf",n. 哲学家; (以狄德罗卢梭和伏尔泰等为代表的)启蒙思想家
philosopher,fi'lɒsәfә,"n. 哲学家, 哲人, 思想开创人, 达观的人\n[法] 哲学家, 哲学研究者"
philosophic,",filә'sɔfik","a. 哲学家的, 哲学的, 镇静的, 逆来顺受的, 安之若素的, 达观的, 富于哲理性的"
philosophical,.filә'sɒfikl,"a. 哲学的, 冷静的, 达观的, 哲学上的, 哲学家似的"
philosophically,,adv. 哲学上；贤明地
philosophize,fi'lɒsәfaiz,"vi. 进行哲学探讨, 肤浅地谈论哲理\nvt. 哲学家似地思考, 从哲理角度解释"
philosophizing,fə'lɒsəfaɪzɪŋ, 哲学思维
philosophy,fi'lɒsәfi,"n. 哲学, 人生观, 哲学思想, 哲理, 基本原理, 见解, 达观, 沉着"
phishing,ˈfɪʃɪŋ, 网络仿冒
phlebitis,fli'baitis,n. 静脉炎\n[医] 静脉炎
phlebotomy,fli'bɒtәmi,"n. 静脉切开术, 放血术\n[医] 静脉切开术, 放血术"
phlegm,flem,"n. 痰, 粘液, 粘液质, 迟钝, 冷淡, 沉着, 镇定\n[医] 粘液(旧时四体液学说的四液之一), 粘痰, 粘液"
phlegmatic,fle^'mætik,"a. 粘液质的, (正式)平静的, 不动情的, 不动感情的, 冷漠的, 冷淡的, 迟钝的\n[医] 粘液质的, 迟钝的"
phlegmy,'flemi,"a. 痰的, 含痰的, 生痰的"
phlogiston,flәu'dʒistәn,n. 燃素\n[化] 燃素
phlox,flɒks,n. 福禄考
phobia,'fәubiә,"n. 恐怖病, 恐惧症, 惧怕, 憎恶\n[医] 恐怖[症]"
phobic,'fәubik,"a. 病态性恐惧的, 憎恶的\n[医] 恐怖的"
Phoenician,fi'niʃiәn,"a. 腓尼基的, 腓尼基人的\nn. 腓尼基人"
phoenix,'fi:niks,"n. 凤凰, 不死鸟, 死而复生的人, 完人, 殊品"
phone,fәun,"n. 电话, 受话器, 耳机\nvt. 打电话给\nvi. 打电话"
phonebook,,n. 电话簿
phoneme,'fәuni:m,"n. 音素, 音位\n[计] 音素"
phonemic,fәu'ni:mik,a. 音位的；音素的
phonetic,fәu'netik,"a. 语音的, 语音学的, 表示语音的, 语音差异的\n[医] 语音的"
phonetically,fәu'netikli,"adv. 按照发音地, 语音学上"
phonetics,fәu'netiks,"n. 语音学, 语音体系, 表音拼法\n[医] 语音学"
phoney,'fәuni,"a. 假的, 假冒的, 伪造的\nn. 骗子, 假货, 假冒者"
phonic,'fәunik,"a. 音的, 语音的, 语音学的, 有声的, 声学的, 浊音的\n[医] 音的, 声音的"
phonics,'fәuniks,"n. 声学, 基础语音教学法"
phoniness,'fәuninis,"n. 虚假, 伪造"
phonograph,'fәunәgrɑ:f,"n. 留声机, 电唱机\nvi. 用留声机灌音, 用留声机放音"
phonographic,.fәunә'græfik,"a. 留声机的, 表音的, 音符的, 速记的"
phonological,,"a. 音位学的, 音韵学的"
phonology,fәu'nɒlәdʒi,"n. 音系学, 历时音系学\n[医] 语音学"
phonon,'fәunɒn,n. 声子\n[计] 声子
phony,'fәuni,"n. 假货, 假冒者, 赝品\na. 伪造的, 假的, 不可信的, 华而不实的"
phorid,'fɒrɪd, 蚤蝇
phosphatase,'fɔsfәteis,n. 磷酸酶\n[化] 磷酸酶; 磷酸酯酶
phosphate,'fɔsfeit,"n. 磷酸盐, 磷酸酯\n[化] 磷酸盐; 磷酸酯"
phosphide,'fɒsfaid,n. 磷化物\n[化] 磷化物
phospholipid,",fɔsfәu'lipid","n. 磷脂体, 膦脂类\n[化] 磷脂"
phosphor,'fɔsfә,"n. 金星, 启明星, 磷光体, 磷光剂, 磷光闪闪的东西\n[化] 无机发光材料; 磷"
phosphorescence,.fɒsfә'resns,"n. 磷光, 发磷光特性\n[化] 磷光; 磷光现象"
phosphorescent,.fɒsfә'resnt,"a. 发出磷光的, 闪磷火的, 磷光性的\n[医] 磷光的"
phosphoric,fɔs'fɔrik,"a. 磷的, 含磷的\n[化] 磷的; 五价磷的"
phosphorous,'fɒsfәrәs,"a. 亚磷的, 含磷的\n[化] 亚磷的; 三价磷的"
phosphorus,'fɒsfәrәs,"n. 启明星, 金星, 磷, 磷光体\n[化] 磷P"
photo,'fәutәu,"n. 相片, 照片, 逼真的描绘\nv. 照相\na. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
photocell,'fәutәsel,"n. 光电池, 光电管\n[计] 光电池"
photochemical,.fәutәu'kemikl,"a. 光化学的, 光化作用的\n[医] 光化学的"
photocopied,,"v. 影印, 照相复制（photocopy的过去式与过去分词形式）"
photocopier,'fәutәu.kɒpiә,"n. 影印机, 摄影复制机"
photocopy,'fәutәu.kɒpi,"n. 影印, 复印件\nv. 影印"
photocopying,,"v. 影印, 照相复制（photocopy的现在分词形式）"
photodetector,",fәutәudi'tektә",n. 光电探测器\n[计] 光检测器
photodiode,",fәutәu'daiәud",n. 光电二极管\n[计] 光电二极管
photoelectric,.fәutәui'lektrik,"a. 光电的, 灯光摄影装置的\n[电] 光电的"
photogenic,",fәutәu'dʒenik","a. 发光的, 由于光而产生的, 适宜于拍照的, 拍照效果好的, 特别上镜的, 上照的\n[医] 光所致的, 光原性的, 发光的"
photograph,'fәutәgrɑ:f,"n. 相片, 照片, 逼真的描绘\nv. 照相, 摄影"
photographer,fә'tɔ^rәfә,"n. 摄影师, 摄影者"
photographic,.fәutә'græfik,"a. 照相的, 摄影用的, 详细记录的, 逼真的, 酷似的"
photographically,ˌfəʊtə'ɡræfɪklɪ, 摄影术地
photography,fә'tɒgrәfi,"n. 摄影, 摄影术\n[化] 照相术"
photojournalism,",fәutәu'dʒә:nәlizm","n. 摄影新闻工作, 摄影报道"
photojournalist,,n. 新闻摄影记者
photolithography,.fәutәuli'θɒgrәfi,"n. 照相平印术, 照相平版印刷(法), 光刻法\n[计] 光刻法"
photometer,fәu'tɒmitә,"n. 光度计, 曝光计\n[化] 光度计"
photometric,.fәutәu'metrik,"a. 光度学的, 光度计的, 光度测定的"
photometry,fәu'tɒmitri,"n. 光度学, 光度测定, 测光法\n[化] 光度学; 光度滴定法"
photomicrograph,",fәutәu'maikrәu^rɑ:f",n. 显微照相\n[医] 显微照片
photomontage,.fәutәumɒn'tɑ:ʒ,n. 合成照片(术)
photomultiplier,",fәutәu'mʌltiplaiә",n. 光电倍增管\n[化] 光电倍增管
photon,'fәutɒn,"n. 光子, 光量子, 光度\n[化] 光量子; 光子"
photonic,",foʊ'tɑnɪk",a. photon的形容词形式
photonics,fәu'tɔniks,[复]n.[用作单][物]光子学
photoreceptor,",fәutәuri'septә",n. 光感受器\n[医] 光感受器
photosensitive,.fәutәu'sensitiv,"a. 感光性的, 对光敏感的\n[医] 对光敏感的, 感光的"
photosphere,'fәutәu.sfiә,"n. 光球, 发光球体\n[电] 光球"
photostat,'fәutәustæt,"n. 直接复印照片, 直接复印机\nv. 复印照片"
photosynthesis,.fәutәu'sinθәsis,n. 光合作用\n[化] 光合作用
photosynthesize,",fәutәu'sinθisaiz","[生化] vi.(植物等)进行光合作用,实行光能合成\nvt.(通过)光合(作用)产生"
photosynthetic,",fәutәusin'θetik",a. 光合的\n[医] 光合的
photovoltaic,",fәutәuvɔl'teiik",[电] 光电伏打
phrase,freiz,"n. 惯用语, 词组, 成语, 措词, 乐句\nvt. 用短语表达, 把(乐曲)分成短句\n[计] 短语"
phrasebook,,"n. 短语手册, 成语汇编, 熟语指南"
phraseology,.freizi'ɒlәdʒi,"n. 措辞, 说法, 语词, 术语, 习语, 词组"
phrasing,'freiziŋ,"n. 说法, 措辞, 抑扬顿挫, 分节法"
phrenological,.frenә'lɒdʒikl,a. 颅相学的
phrenologist,fre'nɒlәdʒist,n. 颅相学者
phrenology,fre'nɒlәdʒi,n. 颅相学\n[医] 颅相学(一门唯心的学科)
Phrygian,'fridʒiәn,"a. 佛里吉亚的\nn. 佛里吉亚人,佛里吉亚语"
phthalate,'θæleit,"[化] 邻苯二甲酸盐; 邻苯二甲酸酯\n[医] 邻苯二甲酸盐, 肽酸盐"
phylactery,fi'læktәri,"n. 经匣, 提醒者(物), 令人联想的事物, 护符"
phyllo,"'fi:lәj,'fai-",n. [食](制酥点用的)擀成极薄层的生面
phylloxera,.filɒk'siәrә,"n. 根瘤蚜, 葡萄根瘤蚜"
phylogenetic,",failәjdʒi'netik","a. 种系发生的, 系统发育的\n[医] 种系发生的, 种族发育的"
phylogenetically,,"系统发生的, 动植物演化史的, 动植物种类史的"
phylogeny,fai'lɒdʒini,"n. 种系发生, 发展史, 语系发生\n[医] 种系发生, 种族发育"
phylum,'failәm,"n. (生物分类上的)门, 语系\n[医] 门[生物分类]"
physiatrist,",fizi'ætrist","[医] 物理治疗学, 理疗学"
physic,'fizik,"n. 药品, 泻药, 医学\nvt. 给...服药, 治愈, 使通便"
physical,'fizikl,"a. 身体的, 物质的, 自然的, 物理学的, 好色的\nn. 体格检查"
physicality,fizi'kæliti,n. 肉体性
physically,'fizikli,"adv. 按自然规律, 完全地, 实际上, 真正地, 身体上地"
physician,fi'ziʃәn,"n. 医师, 内科医师, 解除痛苦者\n[医] 主治医师"
physicist,'fizisist,"n. 物理学家, 机械唯物论者, 自然科学家\n[医] 菲西克氏手术(虹膜圆片切除)"
physics,'fiziks,"n. 物理学, 物理过程, 物理现象\n[化] 物理; 物理学"
physiognomic,",fiziә'nɔmik","a. 观相术的, 相貌的"
physiognomy,.fizi'ɒgnәmi,"n. 相面术, 面相, 外貌, 地貌\n[医] 面容诊断, 面容, 面相"
physiographic,.fiziә'ɡræfik,"a. 地形学的, 地文学的"
physiologic,,"a. 生理学的, 生理的\n[医] 生理学的, 生理的"
physiological,.fiziә'lɒdʒikl,"a. 生理学的, 生理学上的, 生理机能的\n[医] 生理学的, 生理的"
physiologically,,adv. 生理学方面
physiologist,.fizi'ɒlәdʒist,n. 生理学者\n[医] 生理学家
physiology,.fizi'ɒlәdʒi,"n. 生理学, 生理机能\n[医] 生理学"
physiotherapist,,"n. 物理疗法家, 理疗家\n[医] 理疗医师, 理疗学家"
physiotherapy,.fiziә'θerәpi,"n. 物理疗法, 理疗\n[医] 物理治疗, 理疗"
physique,fi'zi:k,"n. 体格, 体形\n[医] 体格"
physis,'fɪsɪs, [医]n.长骨体生长部
phytochemical,",faitәu'kemikәl",a. [化]植物化学的
phytoestrogen,ˌfeɪtəʊ'estrədʒən, 植物雌激素
phytolith,'faitәjliθ,"n. [古生]植物化石,植物岩"
phytoplankton,",faitәu'plæŋktәn",n. 浮游植物\n[医] 浮游植物
pi,pai,"n. 圆周率\n[计] 处理器接口, 程序中断"
Piagetian,",pi:ә'ʒeiәn","a. (瑞士儿童心理学家)皮亚杰的, 皮亚杰关于儿童思维发育理论的"
pianissimo,"pjæ'nisimәu, piә'n-",adv. [乐]极弱地\nn. 乐曲中以最弱音演奏之一节或一个乐章
pianist,'piәnist,"n. 钢琴家, 钢琴演奏者"
piano,pi'ɑ:nәu,n. 钢琴
pianoforte,"pi,ɑ:nәu'fɔ:ti, ,pjæn-",n. 钢琴
piazza,pi'ætsә,"n. 广场, 阳台, 柱廊, 走廊, 露天市场"
pic,pik,"n. 照片, 图片, 影片\n[计] 位置独立代码, 优先中断控制, 过程接口控制, 可编程中断控制器"
pica,'pikә,"n. 异食癖, 鹊, 12点活字\n[医] 异食癖, 异嗜癣"
picador,'pikәdɒ:,"n. 骑马斗牛士, 能言善辩者, 机灵的人"
picaresque,.pikә'resk,a. 以无赖和流浪汉的冒险事迹徒为题材的\nn. 关于流浪汉及其冒险事迹的小说或其它作品
picayune,.pikә'ju:n,"n. 小钱币, 五分钱币, 微不足道的事物, 无足轻重的人\na. 微不足道的, 不值钱的, 琐细的, 眼光狭小的, 小气的, 可鄙的"
piccolo,'pikәlәu,"n. 短笛, 短笛吹奏者\na. (乐器)小型的, 像短笛的"
pice,pais,n. 印度铜币；派士
pick,pik,"n. 精选, 选择, 掘, 精华, 牙签, 鹤嘴锄\nv. 摘, 掘, 凿, 挖, 挑选\n[计] 拾取"
pickaninny,'pikәnini,"n. 黑人小孩, 澳大利亚土著小孩"
pickax,"'pi,kæks","n. 鹤嘴锄, 镐\nvt.vi. 用鹤嘴锄掘"
pickaxe,"'pi,kæks","n. 鹤嘴锄, 镐\nvt.vi. 用鹤嘴锄掘"
picked,pikt,"a. 精选的, 采摘的, 已收获的, 截出的, 已清除的, 有尖头的, 多刺的"
picker,'pikә,"n. 啄者, 啄物, 采摘者, 采摘机, 挖掘者, 古董收集者\n[法] 扒手"
pickerel,'pikәrәl,n. 狗鱼
picket,'pikit,"n. 桩, 尖桩, 警戒哨, 巡逻艇, 纠察队\nvt. 围住, 警戒, 派...担任纠察\nvi. 担任纠察"
picketer,,n. 纠察员
picketing,,"[经] 罢工工人劝阻工人上班, 工人纠察线"
picking,'pikiŋ,"n. 掘, 选择, 挑选, 采摘, 撬开, [U]采得物, 捡得物, 赃物, 扒窃物\n[经] 挑拣"
pickle,'pikl,"n. 盐卤, 腌汁, 泡菜, 困境, 讨厌鬼\nvt. 腌制, 酸洗, 葬送(机会等), 泡"
pickled,'pikld,"a. 烂醉如泥的, 盐渍的"
pickling,'pikliŋ,[化] 浸酸; 酸洗\n[医] 酸渍
pickoff,'pikɒ:f,"n. 以牵制球使出局, 传感器, 敏感元件\n[电] 选截器"
pickpocket,'pikpɒkit,n. 扒手\n[法] 扒手
pickup,'pikʌp,"n. 拾起, 加速, 刺激, 猎物的收集, 好转, 恢复健康, 搭车者, 兴奋剂, 电视摄像\n[电] 拾音器"
picky,'piki,"a. 吹毛求疵的, 挑剔的, 找麻烦的"
picnic,'piknik,"n. 野餐, 远足, 愉快的经历\nvi. 去野餐, 远足"
picnicker,'piknikә,n. 郊游者
picosecond,"'paikә,sekәnd",[计] 微微秒
Pictish,'piktiʃ,a. 皮克特族的
pictogram,ˈpɪktəgræm,"n. 象形文字, 古代石壁画"
pictograph,.piktә'grɑ:f,"n. 象形文字, 古代石壁画, 统计图表\n[医] 剪影儿童视力表"
pictographic,.piktә'græfik,"a. 象形文字的, 统计图表的"
pictorial,pik'tɒ:riәl,"a. 绘画的, 插图的, 用图画表示的, 形象化的, 有象形文字特征的\nn. 画报, 画刊, 有图邮票, 插图杂志, 插图报纸"
pictorially,pɪk'tɔ:rɪəlɪ,adv. 绘画般地
picture,'piktʃә,"n. 图画, 照片, 景色, 美丽如画的人(或物), 化身, 生动的描述, 想像, 形象思维\nvt. 画, 拍摄, 用图说明, 描写, 想像\n[计] 图象; 形象; 字形"
pictured,ˈpiktʃəd,v. 绘画( picture的过去式和过去分词 ); 描绘; 想像; 设想
picturesque,.piktʃә'resk,"a. 生动的, 如画的, 独特的, 别致的, 栩栩如生的"
picturesquely,",piktʃə'reskli","adv. 如画地, 别致地；生动地"
piddle,'pidl,"vi. 鬼混, 浪费, 挑食, 撒尿"
piddling,'pidliŋ,"a. 不重要的, 琐屑的"
pidgin,'pidʒin,"n. 混杂语言, 混杂行话, 事务"
pie,pai,"n. 馅饼, 财富, 总额, 贪污受贿, 杂乱, 喜鹊\n[计] 饼图"
piebald,'paibɒ:ld,"a. 花斑的, 杂色的, 杂种的\nn. 花斑马"
piece,pi:s,"n. 块, 片, 篇, 碎片, 部分, 部件, 标准量\nvt. 修补, 修理, 拼合, 接线头\nvi. 吃零食"
piecemeal,'pi:smi:l,"adv. 一件一件地, 逐个地, 零碎地\na. 一片一片的, 逐渐的, 零碎的\nn. 断片"
piecework,'pi:swә:k,"n. 计件工作\n[机] 件工, 论件计酬之工作"
pied,paid,"a. 斑驳的, 杂色的, 穿花衣服的"
piedmont,'pi:dmәnt,n. 山麓
pier,piә,"n. 码头, 桥墩, 支框, 防波堤\n[医] 桥基, 基牙"
pierce,piәs,"vt. 刺穿, 穿透, 打眼于, 洞悉, (声音)响彻, (亮光)照进, 深深地打动\nvi. 刺入, 穿入, 透入, 进入"
pierced,piәst,"v. 穿通, 刺过（pierce的过去分词形式）"
piercing,'piәsiŋ,"a. 尖厉的, 刺耳的, 刺骨的, 刺穿的, 敏锐的, 彻骨的, 辛辣的, 讽刺的\n[化] 冲孔"
piercingly,'pɪəsɪŋlɪ,"adv. 刺透地, 感动地"
pieta,",pie'tɑ:",[意]圣母玛利亚膝上抱着基督尸体的图画[雕刻]
pietism,'paiәtizәm,"n. 虔诚, 过分的虔诚, 假装的虔诚, 虔信派, 虔信主义"
pietistic,paiә'tistik,"a. 虔诚的, 假装虔诚的, 虔信派的"
piety,'paiәti,"n. 虔诚, 孝敬, 虔诚的行为"
piezoelectric,"pai,i:zәui'lektrik",[电] 压电的
pig,pig,"n. 猪, 猪肉, 贪婪的人, 猪一样的人\nv. 生小猪, 象猪般地生活"
pigeon,'pidʒin,"n. 鸽子, 易上当受骗的人, 年轻女子"
pigeonhole,'pidʒinhәul,"n. 鸽棚, 鸽子出入孔, 分类架, 粗略分类, 鸽棚般的小房间\nvt. 分类, 归档, 把...束之高阁"
piggish,'pigiʃ,"a. 猪般的, 馋嘴的, 贪心的, 邋遢的"
piggy,'pigi,"n. 小猪\na. 贪心的, 似猪的, 邋遢的"
piggyback,'pi^ibæk,"a. 背着的, 在背肩上的\nadv. 背着, 在背肩上"
piglet,'pi^lit,"n. 小猪, 猪仔"
pigment,'pigmәnt,"n. 色素, 色质, 颜料\n[化] 颜料"
pigmentation,.pigmәn'teiʃәn,"n. 染色, 着色, 色素沉着, 天然颜色\n[医] 色素沉着, 着色"
pigmented,'pi^mәntid,"[医] 色素沉着的, 着色的"
pigpen,'pigpen,"n. 猪舍, 猪舍似的地方"
pigskin,'pigskin,"n. 猪皮, 猪皮革, 马鞍"
pigsty,'pigstai,"n. 猪舍, 肮脏地方"
pigtail,'pigteil,"n. 猪尾, 发辫, 辫形导线\n[化] 盘管"
pigtailed,'pigteild,a. 梳辫子的
pigweed,'pigwi:d,"n. 苋, 藜\n[医] 藜"
pika,'paikә,n. 鼠兔
pike,paik,"n. 长矛, 尖头, (体操)屈体, 流浪者, 狗鱼, 通行费\nvi. 用矛刺杀, 刺, 离开, 谨慎办事, 采用屈体姿势"
piker,'paikә,"n. 胆小鬼, 缩手缩脚的人, 小气鬼"
pilaf,pi'lɑ:f,n. 肉饭(由大米加鱼或肉及调料煮成)
pilaster,pi'læstә,n. 壁柱\n[医] 壁柱
pile,pail,"n. 堆, 大堆, 大厦, 建筑群, 电池, 大量, 桥桩, 软毛, 痔疮\nvi. 堆起, 堆积, 积累, 挤, 猛烈攻击\nvt. 堆于, 累积, 堆叠, 打桩于, 用桩支撑"
pileated,paɪletdɪ,"a. （鸟类）有羽冠的； 有菌盖的, 伞形的"
pileup,'pailʌp,"n. 多车相撞, 堆积\n[电] 堆起"
pilfer,'pilfә,"v. 盗取, 小偷小摸, 剽窃"
pilfered,ˈpɪlfəd,"v. 偷窃（小东西）, 小偷( pilfer的过去式和过去分词 ); 偷窃（一般指小偷小摸）"
pilfering,,[法] 偷窃行为
pilgrim,'pilgrim,"n. 旅行者, 朝圣者, 香客\nvi. 朝圣"
pilgrimage,'pilgrimidʒ,"n. 朝圣, 漫游, 人生的一段经历\nvi. 朝拜, 朝圣, 漫游"
pilings,ˈpailiŋz,"n. 打桩, 打桩工程( piling的名词复数 )"
pill,pil,"n. 药丸, 弹丸, 屈辱, 胡说\nv. 做成药丸, 形成丸状, 服药丸, 挫败, 抢劫"
pillage,'pilidʒ,"n. 掠夺, 抢劫, 掠夺物, 战利品\nv. 掠夺, 抢劫"
pillaging,ˈpɪlɪdʒɪŋ,"v. 抢劫, 掠夺( pillage的现在分词 )"
pillar,'pilә,"n. 柱子, 栋梁, 台柱, 重要的支持者\n[医] 柱, 脚"
pillared,'pilәd,"a. 有柱的, 成柱状的"
pillbox,'pilbɒks,"n. 碉堡, 掩体, 药丸盒, 筒形女帽"
pillory,'pilәri,"n. 颈手枷, 笑柄, 示众\nvt. 上颈手枷, 使惹人嘲笑, 使受众辱, 将...示众"
pillow,'pilәu,"n. 枕头, 靠垫, 枕状岩\nvt. 作...的枕头, 垫, 枕于\nvi. 靠在枕上"
pillowcase,'pilәjkeis,n. 枕套
pillowy,'pilәui,"a. 枕头般的, 柔软的"
pilot,'pailәt,"n. 飞行员, 领航员, 航船者, 导向器, 驾驶仪, 向导, 领导人\nvt. 领航, 驾驶, 引导, 试用\na. 引导的, 控制的, 试点的\n[计] 引导"
pilothouse,'pailәthaus,n. 驾驶室
piloting,'pailәtiŋ,n. 领港
pilotless,'pailәtlis,a. 无人驾驶的
pilsner,'pilzənə,a. 比尔森啤酒的\nn. 比尔森啤酒；喝啤酒用的细长玻璃杯
pimento,pi'mentәu,"n. 西班牙甘椒, 甘椒树"
pimiento,pi'mjentәu,"n. 甜辣椒, 灯笼椒, 鲜红色"
pimp,pimp,"n. 皮条客, 男妓, 恶棍, 窥探情人者, 告密者\nvi. 拉皮条, 告密"
pimple,'pimpl,"n. 丘疹, 小脓疱\n[医] 丘疹, 小脓疱"
pimpled,'pimpld,"a. 有丘疹的, 多脓疱的"
